"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          35,      -1.316313488,      -1.209028747,      -1.675242943,      -1.459135496,      -3.263268662,       3.932424524
          0,           0,          36,      -1.399923504,     -0.8647100803,      -1.579287691,      -1.162150293,       -3.20172272,       3.691954322
          0,           0,          37,      -1.300142568,      -1.217541765,      -1.518316185,      -1.407731217,      -3.338744148,       4.013116542
          0,           0,          38,      -1.548538624,      -1.070690668,      -1.649057476,      -1.197953482,      -3.038872763,       3.771858144
          0,           0,          39,      -1.369811858,      -1.448928289,      -1.723877873,      -1.617461675,      -3.333488037,       3.538234357
          0,           0,          40,      -1.470226543,      -1.146867756,      -1.767294557,      -1.403615992,      -2.980064651,       4.136795877
          0,           0,          41,      -1.295984549,      -1.593756732,       -1.79503912,      -1.585322371,      -3.261940384,       3.947523562
          0,           0,          42,      -1.540051546,      -1.218718799,      -1.842869692,       -1.49469651,      -2.989051743,       3.704909884
          0,           0,          43,      -1.370727344,      -1.549983729,      -1.911243923,      -1.749598177,      -3.195733378,       3.979066821
          0,           0,          44,       -1.57688074,      -1.248484006,       -1.76786767,      -1.363431466,      -2.912699404,       3.544740156
          0,           0,          45,      -1.354486431,      -1.667680855,      -1.935096573,      -1.846175725,       -3.23918113,       3.504133804
          0,           0,          46,      -1.607731293,      -1.261849348,      -1.916608031,      -1.530083222,      -3.006868199,       4.033383006
          0,           0,          47,      -1.390198297,      -1.551506452,      -1.944633712,      -1.705612429,      -3.165247953,       3.765976277
          0,           0,          48,      -1.604049791,       -1.13822193,      -1.886631886,      -1.366523625,      -2.727497792,       3.815186603
          0,           0,          49,      -1.426954705,      -1.673919636,      -1.980465539,      -1.873991791,      -3.124728345,       3.806134015
          0,           0,          50,      -1.552615263,      -1.701060603,      -2.231535221,      -1.713445148,      -2.957060718,       3.944722364
          0,           0,          51,      -1.446097115,      -2.048590788,      -2.115684546,       -1.81453417,      -3.129709377,       3.571852748
          0,           0,          52,      -1.505533622,      -1.810320354,      -2.089494934,      -1.678563445,      -2.792949651,        3.63625309
          0,           0,          53,      -1.413081631,      -1.916561075,      -2.292631649,      -1.863733178,      -2.920956229,       3.762134407
