"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[W]"     ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         188,      -3.623053416,      -2.782126932,      -2.959965346,      -2.434435579,      -2.034490282,       3.423592561
          0,           0,         189,       -3.63517366,      -2.857250748,      -2.965825311,      -2.480526627,      -2.035421806,       3.392818743
          0,           0,         190,      -3.615111601,      -2.795584803,      -3.009699214,      -2.476860833,      -2.060583362,       3.425453966
          0,           0,         191,      -3.629667974,      -2.863019334,      -2.972251665,      -2.493238587,      -2.052788635,       3.299218157
          0,           0,         192,      -3.654858566,      -2.858797772,      -3.051660197,      -2.520258229,      -2.047445049,       3.446712549
          0,           0,         193,      -3.666450747,      -2.895376151,      -3.040140529,      -2.541815112,      -2.045992141,       3.358488915
          0,           0,         194,      -3.655063214,      -2.834898445,      -3.066025339,      -2.525790051,      -2.040025698,       3.423110144
          0,           0,         195,      -3.665897585,      -2.871657023,      -3.017623205,      -2.532246286,      -2.051608822,       3.285765351
          0,           0,         196,      -3.679623979,      -2.871791107,      -3.034398071,      -2.520817374,      -2.073485483,        3.46392168
          0,           0,         197,      -3.674233681,      -2.895636811,      -2.991459721,      -2.523487848,        -2.0862415,        3.35529386
          0,           0,         198,      -3.663301316,      -2.827594691,      -3.029474741,      -2.520440871,      -2.072726707,       3.445364053
          0,           0,         199,      -3.668688748,      -2.833007429,      -2.965375612,      -2.498338615,      -1.990431146,       3.293969891
          0,           0,         200,      -3.689497698,      -2.823568452,      -2.967814032,      -2.474415606,      -2.005945293,       3.460460696
          0,           0,         201,      -3.670705581,      -2.822783475,      -2.930012841,       -2.46341287,      -2.046082071,       3.330506893
          0,           0,         202,       -3.66396223,      -2.762356567,       -2.97701065,      -2.476779485,      -2.047265391,       3.431932661
          0,           0,         203,       -3.66139437,       -2.79661656,      -2.964680003,      -2.491936551,       -1.96456658,       3.282683536
          0,           0,         204,      -3.662991703,       -2.80853544,       -2.92390319,      -2.455098232,      -1.974174988,       3.463857013
          0,           0,         205,      -3.657395978,      -2.841935812,      -2.865079423,      -2.441513262,      -2.081976667,       3.332265645
          0,           0,         206,      -3.694030555,      -2.772332586,      -2.948625949,       -2.50410455,      -2.072761844,       3.443014212
          0,           0,         207,      -3.691369141,      -2.742311879,      -2.942945823,      -2.471925405,      -1.906334832,       3.297609417
          0,           0,         208,       -3.67417467,       -2.75393916,      -2.865134527,      -2.400748887,      -1.936418405,       3.477392842
          0,           0,         209,      -3.657895026,      -2.793628152,      -2.817092921,      -2.396843996,      -2.085249534,        3.34536975
          0,           0,         210,      -3.744156946,      -2.783001249,      -3.012902292,      -2.628720988,      -2.129564456,       3.464432171
          0,           0,         211,      -3.907244578,      -2.850379767,      -3.117478446,      -2.825771664,      -2.225062429,       3.317550359
          0,           0,         212,      -3.721664651,      -2.717984643,      -2.955840358,      -2.407469567,       -2.24269597,       3.482133427
          0,           0,         213,      -3.732089686,      -2.696251867,      -2.758002905,      -2.376927632,      -2.227404354,       3.361676102
          0,           0,         214,      -3.770932222,       -2.62652013,       -2.82873276,      -2.430959355,      -2.185043115,       3.494928258
          0,           0,         215,      -3.790580129,      -2.593598155,      -2.917251296,      -2.416210717,      -2.192201182,       3.345592663
          0,           0,         216,      -4.010591606,      -2.738436375,      -2.962798856,      -2.716332443,      -2.231382303,        3.51792854
          0,           0,         217,      -3.770524457,      -2.580089592,      -2.825260467,      -2.277493958,      -2.266834279,       3.378371379
          0,           0,         218,      -3.729271283,      -2.615872491,      -2.706815204,       -2.30447201,      -2.317135068,        3.51281898
          0,           0,         219,      -3.798535673,      -2.644948575,      -2.901309781,       -2.51164688,      -2.330667914,       3.366870212
          0,           0,         220,      -3.822161234,      -2.697240968,      -3.033356823,      -2.538024067,      -2.327293906,       3.562399891
          0,           0,         221,      -3.816105009,      -2.699411586,      -3.018542466,      -2.639054794,      -2.305556125,       3.415104978
          0,           0,         222,      -3.819154368,      -2.668850599,       -3.03599737,      -2.574053811,      -2.421506675,       3.550795547
          0,           0,         223,      -3.790329637,      -2.631203083,      -2.981353041,      -2.402491359,      -2.393651428,       3.406679762
          0,           0,         224,      -3.783208209,      -2.667072562,      -2.871651323,      -2.350337993,      -2.469895311,       3.582061832
          0,           0,         225,      -3.707030895,      -2.678165395,       -2.73819637,       -2.26965849,      -2.397207498,       3.442896632
          0,           0,         226,      -3.675245821,      -2.604773097,      -2.623018502,      -2.249658763,      -2.431173055,       3.573347305
          0,           0,         227,      -3.708824723,      -2.608612738,      -2.763514057,      -2.376900553,       -2.51450407,       3.421244451
          0,           0,         228,      -3.793214583,      -2.664954502,      -2.929625155,      -2.421787613,      -2.474361338,         3.6125662
          0,           0,         229,      -3.717386662,      -2.638765604,      -3.000566337,      -2.549608949,      -2.434191763,       3.454494778
          0,           0,         230,      -3.710363509,      -2.598494784,       -2.97088798,      -2.474620217,      -2.454515141,       3.595706658
          0,           0,         231,      -3.701991124,      -2.555713681,      -2.971848729,      -2.367048933,      -2.267693563,       3.460631648
          0,           0,         232,      -3.688720702,       -2.57293177,       -2.92904549,      -2.357018629,      -2.382796466,       3.620193802
          0,           0,         233,      -3.840632074,      -2.859467957,      -2.892793154,      -2.640638718,      -2.527750178,       3.493057763
          0,           0,         234,      -3.604600914,      -2.614132018,      -2.635504703,      -2.134920775,      -2.205087902,        3.60802302
          0,           0,         235,      -3.612779673,      -2.591926252,      -2.503296051,      -2.190376353,      -2.282083279,       3.474760536
          0,           0,         236,       -3.65249877,      -2.589120082,      -2.663317789,      -2.277563892,      -2.305316705,       3.646188409
          0,           0,         237,      -3.684317518,      -2.597387753,      -2.847414353,      -2.312987147,      -2.291464931,       3.499874746
          0,           0,         238,       -3.68934902,      -2.786697803,      -2.775969228,      -2.631994795,      -2.506841699,       3.647131641
          0,           0,         239,      -3.519440834,      -2.568642485,      -2.506104853,       -2.05514305,      -1.825483567,       3.463896301
          0,           0,         240,       -3.50845718,      -2.504493315,      -2.449979379,      -2.077396247,      -2.090637948,       3.658918515
          0,           0,         241,      -3.602942557,      -2.595972234,      -2.627567045,      -2.290947235,      -2.201714335,       3.475889812
          0,           0,         242,      -3.625589585,      -2.552697175,      -2.770747759,      -2.295660794,      -2.142167863,       3.598534566
          0,           0,         243,      -3.551900788,      -2.656031336,      -2.543953629,      -2.518105035,      -2.324994797,       3.411340958
          0,           0,         244,      -3.527104395,      -2.586384099,      -2.605242202,      -2.470844054,      -2.233831449,       3.609306691
